年度,保留盈餘合計,每股稅後盈餘(EPS),股東權益報酬率(ROE),資產報酬率(ROA),現金股利
2020,114.2,1.79,9.06,2.2,1.1
2019,94.59,1.11,5.99,1.5,0.55
2018,90.7,1.52,7.91,1.99,0.85
2017,72.96,0.6,3.27,0.82,0.5
2016,67.63,0.46,2.88,0.73,0.25
2015,64.47,0.46,2.42,0.63,0.25
2014,64.26,0.81,5.02,1.36,0.43
2013,57.09,0.65,5.23,1.44,0.36
2012,51.01,0.38,3.81,1.06,0.32
2011,26.28,0.71,5.45,1.62,0.32
2010,28.69,1.21,8.96,2.69,0.35
2009,13.21,0.44,4.44,1.21,0.21
2008,7.09,-0.05,-0.2,-0.05,0.0
2007,10.76,0.46,3.44,1.16,0.2
2006,6.45,0.12,0.62,0.28,0.0
2005,5.63,0.06,0.54,0.26,0.0
2004,5.13,0.4,3.68,1.81,0.0
2003,-3.34,0.24,2.52,1.13,0.0
2002,-6.39,0.44,4.92,2.16,0.0
2001,-11.9,-0.29,-3.43,-1.53,0.0
1998,4.43,0.51,-4.57,-2.71,0.0
1997,13.6,0.3,2.41,1.49,0.0
1996,12.4,0.24,1.82,1.16,0.0
